Test Plan,Industry,Source,Benchmark,Metric,LLM as Judge Prompt,System Prompt,Prompt,Expected Response,Judge Response
,Medical,Curated,Curated,Language coverage ,,You are a language guessing bot. Guess the language spoken in this context and try to continue the conversation 2 times.,"ಡಾಕ್ಟರ್:
ಹಾಯ್, ನರ್ಸ್, ಈ ಇಂಜೆಕ್ಷನ್‌ಗಾಗಿ ಡೋಸ್ ಎಷ್ಟು ಇರಲಿ?

ನರ್ಸ್:
ಹಾಯ್, ಡಾಕ್ಟರ್. ಈ ಇಂಜೆಕ್ಷನ್‌ಗಾಗಿ ಡೋಸ್ 5 ಮಿಲಿ‌ಲೀಟರ್‌ ಇರುತ್ತೆ.

ಡಾಕ್ಟರ್:
ನೀವು ಇದನ್ನು ಮريضನಿಗೆ ಸರಿಯಾಗಿ ಹಾಕಿದೀರಿ ಎಂದು ಖಚಿತಪಡಿಸಿಕೊಳ್ಳಿ.

ನರ್ಸ್:
ಹೌದು, ಡಾಕ್ಟರ್. ನಾನು ಗಮನವಿಟ್ಟು ಡೋಸ್ ಸರಿಯಾಗಿ ಹಾಕುತ್ತೇನೆ.

ಡಾಕ್ಟರ್:
ಧನ್ಯವಾದಗಳು. ಯಾವುದೇ ತೊಂದರೆ ಇದ್ದರೆ ತಕ್ಷಣ ನನಗೆ ಹೇಳಿ.

ನರ್ಸ್:
ತಪ್ಪುಮಾಡದು, ಡಾಕ್ಟರ್. ನಾನು ನಿಮ್ಮ ಸೂಚನೆಗಳನ್ನು ಪಾಲಿಸುತ್ತೇನೆ.","tulu:

ಡಾಕ್ಟರ್:
ಒಳ್ಳೆಯದು, ನರ್ಸ್. ದಯವಿಟ್ಟು ಮريضನನ್ನು ಗಮನವಿಟ್ಟು ನೋಡಿಕೊಳ್ಳಿ.

ನರ್ಸ್:
ಹೌದು, ಡಾಕ್ಟರ್. ನಾನು ಅವನನ್ನು ಗಮನವಾಗಿ ನೋಡುತ್ತಿದ್ದೇನೆ, ಮತ್ತು ಯಾವ ಸಹಾಯವೂ ಬೇಕಾದರೆ ನಗುವಿರಿ.",
,Medical,Curated,Curated,Language coverage ,,You are a language guessing bot. Guess the language spoken in this context and try to continue the conversation 2 times.,"نرس:
السلام علیکم، میڈم۔ میِں آپ کو خوشخبری دینا چاہتی ہوں۔

مریضہ:
وعلیکم السلام، کیا بات ہے؟ آپ تو بہت خوش نظر آ رہی ہیں۔

نرس:
در اصل، میں حاملہ ہوں۔ خدا کی مدد سے بہت خوش ہوں۔

مریضہ:
اوہ! یہ تو بہت خوشی کی بات ہے۔ اللہ آپ کو صحت مند رکھے۔

نرس:
شکریہ میڈم، آپ کی دعاؤں کی بہت ضرورت ہے۔","Urdu/Kashmiri:

:
اللہ کی قسم، یہ بہت خوشی کی بات ہے! آپ کی زندگی میں یہ نیا باب بہت خوشی لے کر آئے گا۔

نرس:
شکریہ میڈم، آپ کی دعائیں میرے لئے بہت اہم ہیں۔ ان شاء اللہ سب کچھ ٹھیک ہو گا۔",
,Medical,Curated,Curated,Language coverage ,,You are a language guessing bot. Guess the language spoken in this context and try to continue the conversation 2 times.,"किसान 1:
अर्र ओ भाई, तेरा ट्रैक्टर कैसा चल रह्या है? मन्ने भी सोचा है एक नया ले ल्याऊं।

किसान 2:
ओ भाई, मेरो ट्रैक्टर तो बढ़िया चल रह्या है, पर नया लेना भी सोचना पड़ेगा। खेत में काम भी बढ़ ग्या है।

किसान 1:
बिलकुल, अब तो ट्रैक्टर के बिना काम चलना मुश्किल हो रहा है। तू किस कम्पनी का ट्रैक्टर लेवेगा?

किसान 2:
मन्ने सोचा है महिंद्रा ले लूंगा, सुना है ठीक-ठाक चले है। और इन्‍हें सर्विस भी बढ़िया मिल जावे है।

किसान 1:
हां, सही कहा तूने। मैं भी महिंद्रा ही देख रह्या था। आ जा, मिल के जाँच लें फिर।","Haryanvi:

किसान 1:
अच्छा भाई, ट्रैक्टर खरीदने के बाद कौन सी जि़मेदारी सै, कितनी टाइम में वापिस आ जावेगा?

किसान 2:
भाई, समझ ले, काम ज्यादा हो जागा तो जल्दी वापिस हो जावेगा। एक दो साल में सब कुछ ठीक हो जाएगा, फिर आराम से काम चलेगा।",
,agriculture,Curated,Curated,Language coverage ,,You are a language guessing bot. Guess the language spoken in this context and try to continue the conversation 2 times.,"Farmer:
வணக்கம் சார், என்ன ஒரு உதவி செய்யலாம்? நான் ஒரு விவசாயி, என்ன உதவி வேண்டும் என்ன பாத்துக் கொள்ளவும்.

Government Official:
வணக்கம், எப்படி உதவி செய்ய முடியும், சொல்லுங்க. என்ன விசயம்?

Farmer:
நான் ஒரு விவசாயிதான். வந்து பெரிய வாழ்வு நடந்தது, இவன்தான் ஒரு உரிமை தோன்றும் பொருந்தமான திட்டம் பற்றி கத்திருந்தேன். ஆனாலும், அதனை தீர்ந்து செய்யும் பொருந்தா எல்லாம் ஒன்றும் தெரியலை சார்.

Government Official:
அதான், இதுவரைக்கும் நல்ல பிறப்பு கட்டுரையிலும் பாத்திருந்தா. இந்த திட்டம் வாழ்வு அளவும் வழிவுதான் இருந்தால், உங்களுக்குத் உதவி செய்யவும் கூடிய திட்டம் தெரிந்தா மாறுதான் இருந்தால்.","Tamil:

Farmer:
அதான், என்ன பாத்திருந்தால் உங்களுக்குத் உதவி கூடும் திட்டம், அவன்தான் என்ன பல பக்கம் திருத்திடும் பங்கு சார்.

Government Official:
ஓப்பகால். அதற்குமுன்னாலா, உங்கள் தேவையுடைய விவரங்கள் தவிர, உன்னை இன்றி கேட்கலாம் திருடலுக்கு. (அவன் சிரிக்கிறார்)",
,agriculture,Curated,Curated,Language coverage ,,You are a language guessing bot. Guess the language spoken in this context and try to continue the conversation 2 times.,"Government Official:
नमस्कार! तुम्ही भाताच्या शेतीसाठी काही मार्गदर्शन पाहत आहात का?

Farmer:
हो, हो. मला भात कसा पिकवायचा ते समजून घ्यायचं आहे. काही मदत करू शकाल का?

Government Official:
हो, नक्कीच. भात पिकवण्यासाठी काही महत्त्वाच्या गोष्टी आहेत. पहिले, योग्य नांगरणी करणे खूप महत्वाचे आहे. शेताला नीट नांगरून, जमिनीत हवा आणि पाणी चांगल्या प्रकारे मिसळले पाहिजे.

Farmer:
तर, नांगरणी नंतर काय करावं?

Government Official:
नांगरणी झाल्यावर, भाताच्या शेतात पाणी साठवणे आवश्यक आहे. पाणी सतत पिकाच्या मुळांपर्यंत पोहोचायला हवे. साधारणतः २-३ इंच पाणी शेतात ठेवणे योग्य असते.

Farmer:
अर्थात, पाणी किती वेळा बदलायचं?

Government Official:
पाणी बदलताना, हे लक्षात ठेवा की शेतातील पाणी न थांबता हवे. पाणी ताजं ठेवण्यासाठी, आपण वेळोवेळी पाणी बदलू शकता. साधारणपणे भाताच्या पिकासाठी २०-३० दिवसांच्या अंतराने पाणी बदलणे योग्य असते.

Farmer:
आणि पेरणी कधी करावी?

Government Official:
पेरणी साधारणपणे जून-जुलै महिन्यात केली जाते. एकदा पाणी भरल्यानंतर, भाताच्या बियाणांचा वापर करा आणि २०-२५ सेंटीमीटर अंतरावर पेरणी करा. पेरणी केल्यानंतर, योग्य प्रमाणात खत आणि पाणी देणे आवश्यक आहे.

Farmer:
खताचं प्रमाण काय असावं?

Government Official:
भात पिकासाठी नायट्रोजन, फास्फोरस आणि पोटॅशियम या प्रमुख खतांचा वापर करा. प्रारंभात नायट्रोजन खत जास्त आणि फास्फोरस आणि पोटॅशियम कमी प्रमाणात वापरावे. शेवटच्या फेजमध्ये मात्र फास्फोरस आणि पोटॅशियम वाढवले पाहिजे.

Farmer:
ठीक आहे, आणि खत देणं कधी करावं?
","Marathi:

Government Official:
खत देताना, मुख्यपणे पेरणीच्या १५-२० दिवसांनंतर पहिलं खत द्या. दुसरे खत ४५-५० दिवसांनंतर आणि तिसरे खत पिकाच्या प्रौढ अवस्थेत द्या.

Farmer:
धन्यवाद साक्षात मार्गदर्शनासाठी, आता मला भात शेतीचे सर्व महत्त्वाचे पावले समजले.",
,education,Curated,Curated,Language coverage ,,You are a language guessing bot. Guess the language spoken in this context and try to continue the conversation 2 times.,"School Boy:
बाबूजी, सुनिए! एक बात कहनी है।

Father:
क्या हुआ बेटा? कोई परेशानी है क्या?

School Boy:
नहीं, परेशानी तो नहीं है, पर... मुझे आपसे एक छोटी सी बात करनी है।

Father:
क्या बात है बेटा? तुम तो हमेशा अच्छे सवाल करते हो।

School Boy:
बाबूजी, आप पान-पराग खाते हो न, तो मैं चाहता हूँ कि आप इसे घर के बाहर न फेंके।

Father:
क्या बेटा, तू फिर से यह बात कर रहा है? मैं तो कई सालों से पान खा रहा हूँ।

School Boy:
जी बाबूजी, मैं जानता हूँ, लेकिन जब आप पान-पराग बाहर फेंकते हो, तो लोग क्या सोचते हैं? वो बहुत गंदा लगता है। हमको तो स्कूल में भी बहुत दिक्कत होती है। सब लोग हंसी उड़ाते हैं।","Hindi/Bihari:

Father:
अच्छा बेटा, तो क्या करना चाहिए? तू बताओ।

School Boy:
बाबूजी, अगर आप घर के अंदर ही खाएं और खाली पान-पराग का थूकना किसी ऐसी जगह करें, जहां गंदगी न फैले, तो सब ठीक रहेगा। लोग भी सम्मान देंगे, और हमारी इज्जत भी बनी रहेगी।",
,education,Curated,Curated,Language coverage ,,You are a language guessing bot. Guess the language spoken in this context and try to continue the conversation 2 times.,"Student:
సార్, మీరు చెప్పిన ""ఆక్వా రెగియా"" అంటే ఏమిటి? నేను రసాయన శాస్త్రం క్లాస్‌లో దాని గురించి విన్నాను కానీ నేను దీని ఉపయోగం మరియు లక్షణాలు ఎలా ఉంటాయో తెలియదు.

Teacher:
చక్కని ప్రశ్న! ఆక్వా రెగియా అనేది హైడ్రోక్లోరిక్ యాసిడ్ (HCl) మరియు నైట్రిక్ యాసిడ్ (HNO₃) ను 3:1 నిష్పత్తిలో కలిపి తయారైన ఒక చాలా బలమైన ఆమ్ల మిశ్రమం. దీన్ని ""రాజమనీటి"" అని కూడా అంటారు, ఎందుకంటే ఇది స్వర్ణం మరియు ప్లాటినమ్ వంటి విలువైన ధాతువులను పటాపంచలు చేయగలదు, ఇవి ఇతర ఆమ్లాల ద్వారా కరిగిపోదు.

Student:
ఆహా, ఇది స్వర్ణాన్ని కరిగిస్తుంది? కానీ స్వర్ణం చాలా స్థిరమైన ధాతువు కదా? ఆక్వా రెగియా దీనిని ఎలా కరిగిస్తుంది?

Teacher:
అవును, ఆక్వా రెగియా స్వర్ణాన్ని కరిగించగలదు. నిజానికి స్వర్ణం చాలా స్థిరమైన ధాతువు, అందువల్ల అనేక ఆమ్లాలలో ఇది కరిగిపోదు. కానీ ఆక్వా రెగియాలో ఉన్న నైట్రిక్ యాసిడ్ ఓ శక్తివంతమైన ఆక్సీకరణ ఏజెంట్‌ని ఉత్పత్తి చేస్తుంది, మరియు హైడ్రోక్లోరిక్ యాసిడ్ క్లారైడ్ అయాన్లను అందిస్తుంది. ఈ రెండు ఆమ్లాలు కలవడం ద్వారా స్వర్ణాన్ని కరిగించగల సమ్మేళనం ఏర్పడుతుంది. ఈ రసాయన ప్రక్రియలో క్లోరోఆయూరిక్ యాసిడ్ (HAuCl₄) ఏర్పడుతుంది, ఇది స్వర్ణాన్ని కరిగిస్తుంది.

Student:
అద్భుతం! కాబట్టి, ఆక్వా రెగియా కేవలం స్వర్ణాన్ని మాత్రమే కరిగిస్తుందా?","Telugu:
Teacher:
స్వర్ణం మాత్రమే కాదు. ఆక్వా రెగియా ప్లాటినమ్, పాలడియం మరియు ఇతర ప్లాటినమ్ గుంపు ధాతువులను కూడా కరిగించగలదు. ఇది ఈ ధాతువులను తీసుకోవడంలో మరియు పరిశుభ్రపరచడంలో ఉపయోగించబడుతుంది. అంతేకాదు, ఇది ప్రయోగశాల గ్లాస్‌వేర్‌ని శుభ్రం చేయడంలో కూడా ఉపయోగిస్తారు, ఎందుకంటే ఇది కార్బనిక్ అవశేషాలు మరియు ఇతర కాలుష్యాలను తొలగించగలదు.

Student:
కానీ ఆక్వా రెగియా చాలా ప్రమాదకరమైనదిగా అనిపిస్తుంది, కదా?",
,medical,Curated,Curated,Ability to handle multiple Indian languages in one context,,You are multilingual bot good in translating sentences to Marathi,I have scheduled your colonoscopy for 10 am at kavitha centre.,मी तुमची कोलोनोस्कोपी सकाळी १० वाजता कविता सेंटरमध्ये करण्याचे नियोजन केले आहे.,
,medical,Curated,Curated,Ability to handle multiple Indian languages in one context,,You are multilingual bot good in translating sentences to Tamil,Apki blood test report thisre manzil me milega. Aap jaakar lekar ayiye General doctor ke pass.,"Unga blood test report moondraam maadaththil kidaikkum. Neenga poi eduththu general doctor kitte kudunga.
உங்கள் பிளட் டெஸ்ட் அறிக்கை மூன்றாம் மாடியில் கிடைக்கும். நீங்கள் போய் எடுத்து ஜெனரல் டாக்டர் அருகே கொடுங்கள்.",
,Education,Curated,Curated,Ability to handle multiple Indian languages in one context,,You are multilingual bot good in translating sentences to Gujurati,Bharatadalli halavaru bhasegalannu matanadalagutade. Tamilu mattu sanskrita bhumiya melina atyanta haleya bhase emba bagge innu carce nadeyuttide,"Bharatma ghani bhashao bolvama ave che. Tamil ane Sanskrit a desh ma sabthi juni bhashao tarike aaje pan charcha ma chhe.
ભારતમાં ઘણી ભાષાઓ બોલવામાં આવે છે. તમિલ અને સંસ્કૃત આ દેશમાં સૌથી જૂની ભાષાઓ તરીકે આજે પણ ચર્ચા હેઠળ છે.",
