response,mattr_10,mattr_20,mattr_25,mattr_30,mattr_50,mattr_75,mattr_100,hdd,mtld,ttr
"Common symptoms of diabetes include frequent urination, excessive thirst, increased hunger, unexplained weight loss, fatigue, blurred vision, slow-healing wounds, and numbness or tingling in hands or feet.",0.9888888888888887,0.9875,0.9733333333333333,0.9629629629629629,0.9629629629629629,0.9629629629629629,0.9629629629629629,0.0,204.11999999999972,0.9629629629629629
"A butterfly's life cycle has four stages—egg, larva (caterpillar), pupa (chrysalis), and adult—each stage plays a role in its transformation into a butterfly.",0.9857142857142858,0.9624999999999999,0.9130434782608695,0.9130434782608695,0.9130434782608695,0.9130434782608695,0.9130434782608695,0.0,74.05999999999996,0.9130434782608695
"Crop yield variability is influenced by soil quality, weather conditions, pest and disease pressure, irrigation, fertilizer use, and farming practices.",0.9727272727272728,0.95,0.95,0.95,0.95,0.95,0.95,0.0,111.99999999999991,0.95
"Best practices for soil fertility management include crop rotation, using organic manure or compost, balanced fertilizer application, cover cropping, and regular soil testing.",1.0,0.9249999999999999,0.9130434782608695,0.9130434782608695,0.9130434782608695,0.9130434782608695,0.9130434782608695,0.0,74.05999999999996,0.9130434782608695
"The first thing you notice about Sylvalore is the hush—not silence, no, but the kind of quiet that breathes. High above the ground, the city stirs in the canopy of trees older than memory itself. The trunks stretch like columns toward the sky, wider than a house and so tall that their crowns disappear into drifting mist. Between them, the city hangs—woven, grown, and whispered into existence by the will of the forest.You arrive just before dawn, carried by a glider shaped like a moth’s wing. The landing platform unfurls beneath you—a thick, curling leaf edged in amber veins. It senses your weight and steadies itself. Below, the vast forest floor lies in shadow, barely visible. Up here, everything lives closer to the sun.A gentle thrum pulses through the wood beneath your feet. It’s the Forestheart—Elarindel—awake and aware. The city, after all, is not built upon the trees. It is part of them. When Sylvalore was founded, millennia ago, the First Speakers sang to the roots and bartered with the forest’s soul. In exchange for reverence and harmony, the trees opened themselves—growing homes, marketplaces, gardens, and even amphitheaters among their limbs.You step onto the main bridge, woven from living vines that gently flex as you walk. Below it, an orchestra of sounds floats up: the gurgle of sapstream fountains, the deep clicks of wooden wind chimes, and somewhere, the thin, sweet song of a flutebird in morning praise.A group of children race past you, barefoot and laughing, their cloaks stitched with mirrorwings that catch the light and scatter it like rainbows. Their hair is adorned with tendrils that curl and bloom with emotion—an inheritance from the trees themselves, some say. One skids to a halt and grins at you, pupils shaped like tiny leaves. “First time topside?” she asks, then giggles and runs off again.As the sun crests the treetops, Sylvalore awakens fully. Homes shaped like blossoms slowly unfold their roofs to the light. Herbalists hang crystalline pots outside their balconies, each catching a different scent from the breeze—rosemary-mint, spiced amber, crushed twilight berries. The air is heavy with scent and promise.You pass by a gathering circle, where elderwood druids speak softly to the trees, their palms pressed to bark, receiving slow, ancient responses in a language of rustling leaves and shifting roots. In a floating greenhouse, a weaver coaxed threads from the silk-bugs of the upper boughs—glistening strands finer than moonlight. Her loom hums, each thread resonating with the song of the tree that raised the cocoon.The people here call themselves Canopians. Not elves, not humans, not quite fae—something between, or perhaps something entirely else. Their eyes reflect stars, their voices harmonize with birdsong, and their lives move in rhythm with the breath of Elarindel. They do not farm, but coax. They do not mine, but listen. They do not build, but grow.At dusk, the city becomes a dream.Bioluminescent fungi unfurl in gentle glows, dotting the paths in sapphire, jade, and soft lilac. Firewisps—tiny spirits of wind and flame—flit between lanterns made of petrified petals. Music flows from the treetop taverns: deep drumbeats like heartwood pulses, accompanied by instruments strung with vine-fiber.You lie that night in a nest-shaped guesthouse, curved and warm, and as you drift off, you feel it again—the pulse. The forest breathes, and it remembers your name. Sylvalore has accepted you. You are not a visitor here. Not anymore.",0.9568592057761705,0.912499999999996,0.8963265306122438,0.8840823970037439,0.8432295719844344,0.8038991138377655,0.7742672413793104,0.8625469206792938,151.42218959072778,0.5914742451154529
"Through the Ashes of Vesuvius,Eruption of Mount Vesuvius, 79 AD,Livia, a young kitchen servant in a wealthy Pompeiian household,The morning began with the scent of honeyed bread rising from the ovens. I remember how the sky turned strange—a bruised gray, like storm clouds mixed with ash. I was fetching water when the first rumble came, like the gods dragging stone across the sky. No one paid it mind at first; we’d heard noises before. But this was different. The ground trembled beneath my feet, sloshing water over the basin’s rim. Birds flew in spirals. Dogs barked, then fled. I ran back to the kitchen, the pots rattling like frightened teeth on the shelves.

Lady Amara was shouting for her jewelry, her voice shrill over the cracks in the walls. The master's son had already bolted out the atrium gate, his sandals clapping like hoofbeats on stone. I thought of my mother in the hills, of how she braided my hair before I was sold here. My hands shook as I packed a cloth with dried figs and a bit of cheese—just enough if I could escape. The ash came first, soft like snow, but bitter on the tongue. It clung to our lashes, turned day into dusk.

I never saw the Lady again. I remember sprinting, coughing, the air sharp with sulfur and heat. People stumbled past me like shadows—faces smeared with soot, eyes wide. The city was collapsing around us, not with noise, but with groans, like something ancient was waking. When I reached the hill’s edge, I turned once. Pompeii was disappearing under clouds of fire and dust. I was only a kitchen girl. No one will remember my name. But I remember every sound, every scream, the sting of ash on my skin. And I ran, with the scent of figs in my bag and a prayer on my lips.",0.9625,0.9130952380952388,0.8952249134948078,0.8807511737089229,0.8377272727272722,0.7992189679218955,0.7721495327102809,0.8381341545379862,114.30272405411118,0.6038338658146964
"The trolley problem presents a runaway trolley heading toward five people tied to a track. You can divert it to another track, saving the five but killing one. Utilitarianism, which prioritizes the greatest good for the greatest number, would endorse pulling the lever—maximizing net happiness. In contrast, deontological ethics, particularly Kantianism, argues against using individuals as mere means to an end. Thus, actively causing one person's death to save five would be morally impermissible, regardless of outcome. Virtue ethics shifts the focus to the character of the decision-maker: what would a virtuous person do? This could yield varied answers, depending on interpretations of courage, wisdom, or compassion. Meanwhile, care ethics might emphasize relationships: is the one person your child? Context reshapes the moral calculus. Ultimately, the trolley problem illuminates the tension between consequentialist logic and moral absolutism.",0.9554687500000005,0.9173728813559328,0.9072566371681412,0.899074074074075,0.8461363636363642,0.7932275132275133,0.7718421052631578,0.856170263244329,142.0356756756757,0.7299270072992701
"It begins as a scent—baked earth after the rain, or the ghost of lavender from a drawer long unopened. A song plays in the background, faint and warbled, yet it pulls something taut inside you. The air feels heavier, tinged with sweetness and sorrow. Your chest tightens, not from pain, but from a longing that arrives uninvited, settling like dust on memory's shelf. The edges of your mind blur into half-formed images: a sunlit veranda, laughter echoing through a hallway, hands you haven't held in years. Time folds strangely here. You smile, but there is ache beneath it—the ache of something lost but never forgotten, of moments not relived but deeply felt. It is a warmth wrapped in melancholy, both comfort and yearning entwined.",0.96608695652174,0.9314285714285725,0.9188000000000004,0.9105263157894723,0.876,0.8322666666666666,0.7748,0.8689368961575388,134.54000000000002,0.7419354838709677
"Consider Mary Shelley's Frankenstein and Rupi Kaur's milk and honey. At first glance, a Gothic novel and a contemporary poetry collection seem unrelated. Yet both probe themes of identity, suffering, and creation. Shelley's Victor Frankenstein births life through science, only to reject his creation, sparking questions of responsibility and alienation. Kaur, through sparse free verse, explores emotional survival, trauma, and feminine resilience. Stylistically, Shelley employs dense, formal prose and epistolary narration, reflecting Enlightenment anxieties. Kaur uses minimalism and Instagram-era accessibility, her lowercase typography echoing vulnerability and rawness. While Shelley poses philosophical dilemmas in metaphor, Kaur renders personal pain as universal insight. Both achieve artistic resonance by marrying form to theme, though their mediums and aesthetics diverge sharply.",0.9842592592592594,0.9520408163265315,0.9376344086021511,0.9215909090909086,0.8797058823529413,0.8620155038759687,0.8405555555555554,0.8998968939954033,182.51999999999998,0.8205128205128205
"Photosynthesis is the process by which green plants, algae, and certain bacteria convert light energy into chemical energy. It occurs primarily in chloroplasts, where chlorophyll pigments capture sunlight. The process consists of two main stages: the light-dependent reactions and the Calvin cycle. In the light-dependent reactions, photons excite electrons in chlorophyll, initiating a cascade through the electron transport chain. This produces ATP and NADPH while splitting water molecules to release oxygen. The Calvin cycle, occurring in the stroma, uses ATP and NADPH to fix atmospheric carbon dioxide into glucose. This transformation of light into stored chemical energy sustains most life on Earth, forming the base of the food chain and regulating global carbon levels.",0.9552380952380959,0.9073684210526325,0.8848888888888887,0.8576470588235293,0.771384615384615,0.7086666666666666,0.672,0.8224759290928904,81.20568570155021,0.6666666666666666
"Communication in the digital age has evolved from static emails to ephemeral messages, live streams, and AI-generated content. Platforms like Twitter (X), Instagram, and TikTok encourage brevity, immediacy, and visual storytelling. Advantages include global connectivity, democratized expression, and rapid information sharing. However, these come at a cost. The reduction of nuance, echo chambers, misinformation, and parasocial relationships all distort meaningful dialogue. Attention spans shorten; depth is often sacrificed for speed. Looking ahead, technologies like neural interfaces or immersive AR/VR may blur boundaries further, challenging what 'presence' and 'authenticity' mean. As communication becomes more fluid and mediated, the human need for connection remains constant, even as its form changes.",0.98989898989899,0.9679775280898881,0.9628571428571424,0.9611814345991565,0.9488135593220334,0.9266666666666672,0.9011111111111112,0.9348329616793497,272.1599999999999,0.8888888888888888
"Formal: Quantum entanglement is a quantum mechanical phenomenon wherein two or more particles become correlated in such a way that the state of one cannot be described independently of the state of the other, regardless of the spatial separation between them. Measurement on one entangled particle instantaneously influences the state of the other, a nonlocal interaction that challenges classical intuitions about causality and locality. Informal: So, imagine two particles that get really closely linked—like cosmic twins. Even if you move one to the other side of the galaxy, the moment you poke it, the other reacts instantly. It's like they share a secret language. Sounds like sci-fi, but it's real physics, and Einstein himself called it 'spooky action at a distance.'",0.9437500000000003,0.8833333333333343,0.8569072164948456,0.8365942028985501,0.7861111111111114,0.7344680851063828,0.6972727272727272,0.8270458651744915,80.96323529411765,0.6942148760330579
"Scientific: A sunset occurs when the sun dips below the horizon due to Earth's rotation. As sunlight passes through a thicker layer of the atmosphere, shorter wavelengths (blue and violet) scatter out, leaving the longer red and orange wavelengths, which dominate the sky. Poetic: The sun bows its golden head, spilling fire across the sky's fading canvas. Clouds blush as if kissed by flame, and shadows stretch like memories across the earth. It is not the end, but an exhale—the day's final hush before the stars whisper awake.",0.9696202531645572,0.9224637681159423,0.9056250000000007,0.8909604519774003,0.8487179487179486,0.8038095238095236,0.7954545454545454,0.856225264451323,120.46222222222221,0.7954545454545454
"Lifelong learning is not merely a virtue; it is a necessity in an ever-evolving world. In a landscape reshaped by technological innovation, cultural flux, and global interdependence, the ability to continuously acquire and adapt knowledge defines both personal success and societal progress. Engaging in lifelong learning cultivates intellectual agility. It equips individuals to pivot careers, embrace innovation, and contribute meaningfully to democratic discourse. Moreover, it fosters curiosity, empathy, and resilience—traits essential to navigating complexity. Institutions and employers should therefore incentivize learning through accessible platforms and flexible structures. In embracing the ethos of continuous growth, we affirm not only our relevance but our humanity.",0.9563829787234045,0.9214285714285717,0.9093670886075955,0.8968468468468466,0.84,0.7990804597701151,0.76,0.8541751102921552,88.06650237985568,0.7475728155339806
"The theory of evolution, proposed by Charles Darwin, explains how living things have changed over time. It suggests that all species of life have a common ancestor and that changes in traits happen gradually over generations due to a process called natural selection. This means that organisms with traits better suited to their environment are more likely to survive and reproduce, passing on those traits. Over long periods, this leads to the development of new species. It’s like nature’s way of editing and improving living beings to adapt to the world around them.",0.9857142857142862,0.9371621621621629,0.906666666666668,0.8828124999999997,0.8154545454545455,0.7529824561403506,0.7311827956989247,0.8384228433159202,96.86880000000001,0.7311827956989247
"Black holes are regions in space where gravity is so strong that nothing, not even light, can escape from them. They form when a massive star runs out of fuel and collapses under its own gravity during a supernova explosion. If the remaining mass is dense enough, it compresses into a very small area, creating a black hole. At the center is a point called the singularity, where gravity is infinitely strong. Surrounding it is the event horizon — the point of no return. Black holes can grow by pulling in nearby matter, and they challenge our understanding of physics, especially space and time.",0.9694736842105268,0.927058823529412,0.9065000000000003,0.8862222222222219,0.8170909090909091,0.7648888888888892,0.718,0.8327398196921124,94.97222222222221,0.7019230769230769
"A smartphone is a small computer that fits in your hand. It works by combining several technologies — a processor that acts like the brain, memory to store data, a screen to display information, and various sensors to detect motion, light, and touch. It connects to the internet using Wi-Fi or mobile networks, letting you browse, message, and make calls. Inside, apps run using an operating system like Android or iOS. When you touch the screen, the phone processes your input and responds instantly, making it a powerful and user-friendly tool for communication, entertainment, and productivity.",0.9678160919540235,0.9259740259740276,0.9066666666666673,0.8855721393034819,0.8102127659574472,0.7448484848484846,0.7291666666666666,0.8335060495042619,97.62461538461538,0.7291666666666666
"Plato and Aristotle were ancient Greek philosophers who had different ideas about the world. Plato believed in a world of perfect .Forms or ideals — for example, every circle in the real world is just an imperfect version of the perfect circle that exists in a higher, abstract reality. He thought true knowledge comes from thinking and reasoning beyond what we see. Aristotle, his student, disagreed and believed that knowledge comes from observing the world around us. He focused on categorizing and studying nature, laying the foundation for modern science. While Plato was more idealistic and abstract, Aristotle was more practical and grounded in reality.",0.9812500000000002,0.9296511627906979,0.8987654320987661,0.8723684210526308,0.8067857142857146,0.7286021505376342,0.6716666666666667,0.8101344441088345,70.54193712151431,0.6476190476190476
